"-- Please Select --","-- Por Favor Seleccione --"
"Columns","Columnas"
"Breakpoints",""
"Screen xxs","Pantalla xxs"
"Insert breakpoint for XXS screen size. Default is 320px.","Insertar punto de interrupción para tamaño de pantalla XXS. El valor predeterminado es 320 px."
"Screen xs","Pantalla xs"
"Insert breakpoint for XS screen size. Default is 480px.","Insertar punto de interrupción para el tamaño de pantalla XS. El valor predeterminado es 480 px."
"Screen s","Pantalla s"
"Insert breakpoint for S screen size. Default is 640px.","Insertar punto de interrupción para el tamaño de pantalla S. El valor predeterminado es 640 px."
"Screen m","Pantalla m"
"Insert breakpoint for M screen size. This breakpoint switches between mobile and desktop views. Default is 768px.","Insertar punto de interrupción para pantalla M. Este punto de interrupción alterna entre la vista móvil y la de escritorio. El valor predeterminado es 768 px."
"Screen l","Pantalla l"
"Insert breakpoint for L screen size. Default is 1024px.","Insertar punto de interrupción para tamaño de pantalla L. El valor predeterminado es 1024 px."
"Screen xl","Pantalla xl"
"Insert breakpoint for XL screen size. Default is 1440px.","Insertar punto de interrupción para tamaño de pantalla XL. El valor predeterminado es 1440 px."
"Section Width","Ancho de sección"
"Page Main","Página principal"
"Set the width of the main page [in px or %].","Establezca el ancho de la página principal [en px o %]."
"Page Main Padding","Relleno principal de la página"
"Set custom padding around the main page [in px]. Example: 0 15px","Establezca un relleno personalizado alrededor de la página principal [en px]. Ejemplo: 0 15 px"
"Set the width of the footer [in px or %] - Example: 1400px, 90%, 100%. For full width use 100%","Establezca el ancho del pie de página [en px o %] - Ejemplo: 1400 px, 90 %, 100 %. Para ancho completo, use 100 %."
"Row","Fila"
"Set the width of row [in px or %]. You can set the width of the '.row' class from this value. Example: 1440px ","Establezca el ancho de la fila [en px o %]. Puede establecer el ancho de la clase "".row"" a partir de este valor. Ejemplo: 1440 px"
"Default Page","Página predeterminada"
"Set width of the default page set [in px or %]. Default store pages are pages like: Checkout Page, Cart Page, Login Page, and other magento default pages. Example: 100%","Establezca el ancho de la página predeterminada [en px o %]. Las páginas predeterminadas de la tienda son: página de pago, página del carrito, página de inicio de sesión y otras páginas predeterminadas de Magento. Ejemplo: 100%"
"Cms Page","Página de CMS"
"Set width of the CMS pages [in px or %]. This sets width of CMS pages in your store, for example Homepage or other CMS pages. Example: 100% ","Establezca el ancho de las páginas del CMS [en px o %]. Esto define el ancho de las páginas del CMS en su tienda, por ejemplo, la página de inicio u otras páginas del CMS. Ejemplo: 100 %"
"Set width of the Category Page [in px or %] - Example: 1400px or 90%, for full width use 100%.","Establecer el ancho de la página de categoría [en px o %] - Ejemplo: 1400px o 90%, para ancho completo use 100%."
"Set width of the Product Page [in px or %] - Example: 1400px or 90%, for full width use 100%.","Establecer el ancho de la página del producto [en px o %] - Ejemplo: 1400px o 90%, para ancho completo use 100%."
"Google Font Options","Opciones de fuentes de Google"
"Load Google Fonts Asynchronously","Cargar fuentes de Google de forma asincrónica"
"If set to yes, the Google fonts will be loaded Asynchronously which eliminates render blocking CSS and should speed up the loading of the page.","Si se configura en sí, las fuentes de Google se cargarán de forma asincrónica, lo que elimina el bloqueo de renderizado de CSS y debería acelerar la carga de la página."
"Main Options","Opciones principales"
"Primary color","Color primario"
"Secondary color","Color secundario"
"Color del fondo de página","Color del fondo de la página"
"Active Color","Color activo"
"Error Color","Color de error"
"Text Color","Color del texto"
"Google Font Family","Familia de fuentes de Google"
"Google Font Character Set","Conjunto de caracteres de fuentes de Google"
"Font Weight","Peso de la fuente"
"Font Size","Tamaño de fuente"
"Set the font size for H1 heading. Example: 30px","Establezca el tamaño de fuente para el encabezado H1. Ejemplo: 30 px"
"Font Style","Estilo de fuente"
"Set font style for H1 heading.","Establecer el estilo de fuente para el encabezado H1."
"Letter Spacing","Espaciado entre letras"
"Increase or decrease the space between characters in H1 heading. Range: -5.0 ... 50.0, value in pixels. Example: 0.7","Aumentar o reducir el espacio entre caracteres en el encabezado H1. Rango: -5.0 ... 50.0, valor en píxeles. Ejemplo: 0.7"
"Line Height","Altura de línea"
"Set line height in pixels for H1 heading. Example: 60","Establezca la altura de línea en píxeles para el encabezado H1. Ejemplo: 60"
"Set the text color for H2 heading.","Establezca el color del texto para el encabezado H2."
" Set the font size for H2 heading. Example: 30px","Establezca el tamaño de fuente para el encabezado H2. Ejemplo: 30 px"
"Inherit (from its parent)","Heredado (del padre)"
"Initial","Inicial"
"Italic","Cursiva"
"Oblique","Oblicuo"
"Increase or decrease the space between characters in H2 heading. Range: -5.0 ... 50.0, value in pixels. Example: 0.7","Aumentar o reducir el espacio entre caracteres en el encabezado H2. Rango: -5.0 ... 50.0, valor en píxeles. Ejemplo: 0.7"
"Line Height(px)","Altura de línea (px)"
"Set line height for H2 heading.","Establecer la altura de línea para el encabezado H2."
" Set the text color for H3 heading. Example: #303030","Establezca el color del texto para el encabezado H3. Ejemplo: #303030"
" Set the font size for H3 heading. ","Establezca el tamaño de fuente para el encabezado H3."
"Increase or decrease the space between characters in H3 heading. Range: -5.0 ... 50.0, value in pixels. Example: 0.7","Aumentar o reducir el espacio entre caracteres en el encabezado H3. Rango: -5.0 ... 50.0, valor en píxeles. Ejemplo: 0.7"
"Line Height(px)","Altura de línea (px)"
"Set line height for H3 heading. ","Establecer la altura de línea para el encabezado H3."
"Set the text color for H4 heading. Example: #303030","Establezca el color del texto para el encabezado H4. Ejemplo: #303030"
" Set font family for H4 heading. Example: Questrial. Please check this for more details on google fonts","Configurar la familia de fuentes para el encabezado H4. Ejemplo: Questrial. Consulta esto para obtener más información sobre las fuentes de Google."
" Set the font size for H4 heading.","Establezca el tamaño de fuente para el encabezado H4."
"Increase or decrease the space between characters in H4 heading. Range: -5.0 ... 50.0, value in pixels. Example: 0.7","Aumentar o reducir el espacio entre caracteres en el encabezado H4. Rango: -5.0 ... 50.0, valor en píxeles. Ejemplo: 0.7"
"Set line height for H4 heading.","Establecer la altura de línea para el encabezado H4."
" Set the text color for H5 heading. Example: #303030","Establezca el color del texto para el encabezado H5. Ejemplo: #303030"
" Set the font size for H5 heading.","Establezca el tamaño de fuente para el encabezado H5."
"Increase or decrease the space between characters in H5 heading. Range: -5.0 ... 50.0, value in pixels. Example: 0.7","Increase or decrease the space between characters in H5 heading. Range: -5.0 ... 50.0, value in pixels. Example: 0.7"
"Set line height for H5 heading.","Establecer la altura de línea para el encabezado H5."
" Set the font size for H6 heading.","Establecer la altura de línea para el encabezado H6."
"Increase or decrease the space between characters in H6 heading. Range: -5.0 ... 50.0, value in pixels. Example: 0.7","Aumentar o reducir el espacio entre caracteres en el encabezado H6. Rango: -5.0 ... 50.0, valor en píxeles. Ejemplo: 0.7"
"Set line height for H6 heading.","Establecer la altura de línea para el encabezado H6."
" Set the text color for default paragraphs. Example: #303030","Establezca el color del texto para los párrafos predeterminados. Ejemplo: #303030"
" Set the font size for default paragraphs. If left blank, default font size is set to 14px.","Establezca el tamaño de fuente para los párrafos predeterminados. Si se deja en blanco, el tamaño de fuente predeterminado es de 14 px."
"Increase or decrease the space between characters in text. Range: -5.0 ... 50.0, value in pixels. Example: 0.7","Aumenta o reduce el espacio entre caracteres del texto. Rango: -5.0 ... 50.0, valor en píxeles. Ejemplo: 0.7"
"Link Color","Color del enlace"
"Set color for links.","Establecer color para los enlaces."
"Link Hover Color","Color al pasar el cursor sobre el enlace"
"Set color for links on hover/when the user mouses over it.","Establece el color de los enlaces al pasar el mouse sobre ellos/cuando el usuario pase el mouse sobre ellos."
"Font Decoration","Decoración de fuentes"
"Set Font Decoration for links. Example: none ","Configurar la decoración de fuente para los enlaces. Ejemplo: ninguna"
"Font Decoration Hover","Decoración de fuentes al pasar el mouse"
"Set Font Decoration for links, on hover. Example: underline ","Configurar la decoración de fuente para los enlaces al pasar el cursor. Ejemplo: subrayado"
"Default Buttons","Botones predeterminados"
"Set text color for default buttons. Example: #FFFFFF.","Establece el color del texto para los botones predeterminados. Ejemplo: #FFFFFF."
"Hover Text Color","Color del texto al pasar el mouse"
"Set text color on hover over default buttons. Example: #000000 ","Configurar el color del texto al pasar el cursor sobre los botones predeterminados. Ejemplo: #000000"
"Background Color","Color de Fondo"
"Set background color for default buttons. Example: #000000.","Establezca el color de fondo para los botones predeterminados. Ejemplo: #000000."
"Hover Border Color","Color del borde al pasar el mouse"
"Set border color on hover over default buttons. Example: #000000.","Establece el color del borde al pasar el cursor sobre los botones predeterminados. Ejemplo: #000000."
"Border Radius","Radio del borde"
"Set border color on hover over default buttons. Example: #000000.","Establece el color del borde al pasar el cursor sobre los botones predeterminados. Ejemplo: #000000."
"Set the Line Height for the default buttons text. Example: 18px","Establezca la altura de línea para el texto predeterminado de los botones. Ejemplo: 18 px"
"Increase or decrease the space between characters for the default buttons text. Range: -5.0 ... 50.0, value in pixels. Example: 0.7","Aumenta o reduce el espacio entre caracteres del texto predeterminado de los botones. Rango: -5.0 ... 50.0, valor en píxeles. Ejemplo: 0.7"
"Primary Buttons (Call To Action)","Botones Primarios (Llamado a la Acción)"
"Set text color for primary (CTA) buttons. Example: #FFFFFF.","Establecer el color del texto para los botones primarios (CTA). Ejemplo: #FFFFFF."
"Hover Text Color","Color de Texto al Pasar el Ratón"
"Set text color on hover over primary buttons. Example: #000000 ","Establece el color del texto al pasar el ratón sobre los botones primarios. Ejemplo: #000000 "
"Hover Text Color","Color de Texto al Pasar el Ratón"
"Set text color on hover over primary buttons. Example: #000000 ","Establecer el color del texto al pasar el ratón sobre los botones primarios. Ejemplo: #000000 "
"Background Color","Color de Fondo"
"Set background color for primary buttons. Example: #000000.","Establecer el color de fondo para los botones primarios. Ejemplo: #000000."
"Hover Background Color","Color de Fondo al Pasar el Ratón"
"Set background color on hover over primary buttons. Example: #FFFFFF. ","Establecer el color de fondo al pasar el ratón sobre los botones primarios. Ejemplo: #FFFFFF."
"Border Color","Color del Borde"
"Set border color for primary buttons. Example: #000000.","Establecer el color del borde para los botones primarios. Ejemplo: #000000."
"Hover Border Color","Color del Borde al Pasar el Ratón"
"Set border color on hover over primary buttons. Example: #000000.","Establecer el color del borde al pasar el ratón sobre los botones primarios. Ejemplo: #000000."
"Set the Line Height for the primary buttons text. Example: 18px","Establecer la altura de línea para el texto de los botones primarios. Ejemplo: 18px"
"Border Radius","Radio del Borde"
"Rating Active Color","Color de Calificación Activa"
"Set color for active Rating. Example: #000000.","Establecer el color para la calificación activa. Ejemplo: #000000."
"Rating Inactive Color","Color de Calificación Inactiva"
"Set color for inactive Rating. Example: #B3B3B3","Establecer el color para la calificación inactiva. Ejemplo: #B3B3B3"
"Rating Icon Size","Tamaño del Icono de Calificación"
"Set Rating Icon size. Example: 12px.","Establecer el tamaño del icono de calificación. Ejemplo: 12px."
"Form Inputs [input-text|select|textarea|input-radio|input-checkbox]","Entradas del Formulario [input-text|select|textarea|input-radio|input-checkbox]"
"Input Background","Fondo del Campo"
"Set background color. Leave blank for default white.","Establecer el color de fondo. Dejar en blanco para el blanco predeterminado."
"Input Border Color","Color del Borde del Campo"
"Set border color.","Establecer el color del borde."
"Input Border Thickness","Grosor del Borde del Campo"
"Set border width and style. Example: 1px solid","Establecer el ancho y estilo del borde. Ejemplo: 1px solid"
"Input Border Radius","Radio del Borde del Campo"
"Set border radius. Example: 1px","Establecer el radio del borde. Ejemplo: 1px"
"Input Height","Altura del Campo"
"Set Input height. Example: 32px","Establecer la altura del campo. Ejemplo: 32px"
"Input Font Size","Tamaño de Fuente del Campo"
"Set Input Font Size. Example: 14px. If field blank, the font size from Default paragraph is used.","Establecer el tamaño de fuente del campo. Ejemplo: 14px. Si el campo está en blanco, se usará el tamaño de fuente del párrafo predeterminado."
"Input Font Color","Color de Fuente del Campo"
"Set Input Font Color. ","Establecer el color de fuente del campo."
"Google Input Font Family","Familia de Fuente de Google para el Campo"
"Google Input Font Character Set","Conjunto de Caracteres de Fuente de Google para el Campo"
"Input Font Weight","Peso de la Fuente del Campo"
"Normal (default)","Normal (predeterminado)"
"Inherit (from its parent)","Heredar (del elemento padre)"
"Initial (default value)","Inicial (valor predeterminado)"
"Bold","Negrita"
"Bolder","Más Negrita"
"Lighter","Más Claro"
"Input Line Height","Altura de Línea del Campo"
"Set line height for Input text. If left blank, default value 1.42857143 is used. ","Establecer la altura de línea para el texto del campo. Si se deja en blanco, se usará el valor predeterminado 1.42857143."
"Input Font Style","Estilo de Fuente del Campo"
"Set font style for Input text. Example: normal","Establecer el estilo de fuente para el texto del campo. Ejemplo: normal"
"Input Placeholder Color","Color del Placeholder del Campo"
"Set the color of the Input placeholder. Example: #575757","Establecer el color del placeholder del campo. Ejemplo: #575757"
"Dropdown widgets","Widgets de Desplegable"
"Dropdown Background","Fondo del Desplegable"
"Set Background color for Dropdown dialog widgets. Example: #fff ","Establecer el color de fondo para los widgets de diálogo desplegable. Ejemplo: #fff"
"Dropdown Border style, width and color","Estilo, ancho y color del Borde del Desplegable"
"Set Border style, width and color. Example: 1px solid #bbb.","Establecer el estilo, ancho y color del borde. Ejemplo: 1px solid #bbb."
"Dropdown Shadow","Sombra del Desplegable"
"Set Shadow values for Dropdown dialog widgets. Example: 0 3px 3px rgba(0,0,0,0.15)","Establecer los valores de sombra para los widgets de diálogo desplegable. Ejemplo: 0 3px 3px rgba(0,0,0,0.15)"
"Dropdown Pointer Border Color","Color del Borde del Indicador del Desplegable"
"Set Dropdown list pointer border color. Example: #bbb","Establecer el color del borde del indicador de la lista desplegable. Ejemplo: #bbb"
"Dropdown List Item Hover","Color al Pasar el Ratón sobre los Elementos de la Lista del Desplegable"
"Set color on hover when Dropdown is a list. Example: #e8e8e8 ","Establecer el color al pasar el ratón cuando el desplegable es una lista. Ejemplo: #e8e8e8"
"Breadcrumbs","Migajas de Pan"
"Breadcrumbs Font Size","Tamaño de Fuente de las Migajas de Pan"
"Set Font Size for Breadcrumbs text. Example: 12px","Establecer el tamaño de fuente para el texto de las migajas de pan. Ejemplo: 12px"
"Breadcrumbs Font Style","Estilo de Fuente de las Migajas de Pan"
"Set Fonts Style for Breadcrumbs text. Example: normal","Establecer el estilo de fuente para el texto de las migajas de pan. Ejemplo: normal"
"Breadcrumbs Separator Color","Color del Separador de las Migajas de Pan"
"Set the color for Breadcrumbs Separators. Example: #505050","Establecer el color de los separadores de las migajas de pan. Ejemplo: #505050"
"Breadcrumbs Current Page Color","Color de la Página Actual en las Migajas de Pan"
"Set color for Breadcrumbs on Current page. Example: #000000","Establecer el color de las migajas de pan en la página actual. Ejemplo: #000000"
"Breadcrumbs Color","Color de las Migajas de Pan"
"Set color for Breadcrumbs. Example: #505050","Establecer el color de las migajas de pan. Ejemplo: #505050"
"Breadcrumbs Color on Hover","Color de las Migajas de Pan al Pasar el Ratón"
"Set color for Breadcrumbs, on hover. Example: #505050","Establecer el color de las migajas de pan al pasar el ratón. Ejemplo: #505050"
"Breadcrumbs Background","Fondo de las Migajas de Pan"
"Set background color for entire Breadcrumbs section. Example: #F9F7FC","Establecer el color de fondo para toda la sección de migajas de pan. Ejemplo: #F9F7FC"
"Breadcrumbs Padding Top Bottom","Espaciado Superior e Inferior de las Migajas de Pan"
"Set Top and Bottom padding for Breadcrumbs text. Example: 15px","Establecer el espaciado superior e inferior para el texto de las migajas de pan. Ejemplo: 15px"
"Product page Add to Icons ","Agregar a Iconos en la Página de Producto"
"Icon Font Size","Tamaño de Fuente del Icono"
"Set Icon size. Applicable for Add to Wishlist, Add to Compare and Email icons from product page and category page. Example: 16px","Establecer el tamaño del icono. Aplicable para los iconos de Agregar a la Lista de Deseos, Agregar para Comparar y Enviar por Correo desde la página de producto y categoría. Ejemplo: 16px"
"Add to, Label Font Size","Tamaño de Fuente del Etiqueta de Agregar a"
"Set Label Font Size. Applicable for Add to Wishlist, Add to Compare and Email icons from product page. Example: 13px","Establecer el tamaño de fuente de la etiqueta. Aplicable para los iconos de Agregar a la Lista de Deseos, Agregar para Comparar y Enviar por Correo desde la página de producto. Ejemplo: 13px"
"Price Options","Opciones de Precio"
"Old Price Line Trough","Mostrar precio antiguo con línea de tachado, si el producto tiene un precio especial configurado."
"Contact Options","Opciones de Contacto"
"Contact Page Version","Versión de la Página de Contacto"
"Select Contact Page Version. Version 1 is default Magento, Version 2 is WeltPixel Contact Page","Selecciona la versión de la página de contacto. La versión 1 es la predeterminada de Magento, la versión 2 es la página de contacto de WeltPixel."
"Submit a feature request","Enviar una solicitud de función"
"Recommended:","Recomendado:"
"It is recommended to disable any Design Elements that you don't use. ","Se recomienda desactivar cualquier Elemento de Diseño que no utilices."
"When an element is disabled, the corresponding code will not be loaded, offering more speed for your store.","Cuando un elemento está desactivado, el código correspondiente no se cargará, ofreciendo más velocidad para tu tienda."
"Also, by disabling unused Design Elements you will reduce conflicts with other 3rd party functionality that you will install in the future.","Además, al desactivar Elementos de Diseño no utilizados, reducirás los conflictos con otras funcionalidades de terceros que puedas instalar en el futuro."
"Many available features can be checked at ","Muchas funciones disponibles pueden ser revisadas en "
" demo store.","tienda demo."
"Bootstrap Grid","Grid de Bootstrap"
"This is the Bootstrap Grid component. It's used on various Home Pages and facilitates the proper allocation of space on multiple sections of the store.
                         This Design Element should not be disabled.","Este es el componente de Grid de Bootstrap. Se usa en varias páginas de inicio y facilita la asignación adecuada de espacio en múltiples secciones de la tienda. Este Elemento de Diseño no debe desactivarse."
"Core Icons","Íconos Principales"
"This Design Element enables the use of core theme icons. These are used for elements such as the mini cart and search icons.
                         This Design Element should not be disabled.","Este Elemento de Diseño permite el uso de los íconos principales del tema. Se usan para elementos como el carrito mini y los íconos de búsqueda. Este Elemento de Diseño no debe desactivarse."
"Extended Icons","Íconos Extendidos"
"These are optional, additional icons that are not part of the core theme icons. They are not used out of the box unless they've been added via customizations.
                         For example, a list of Custom Icons can be found here: ","Estos son íconos opcionales y adicionales que no forman parte de los íconos principales del tema. No se usan de forma predeterminada a menos que se hayan agregado mediante personalizaciones. Por ejemplo, una lista de íconos personalizados se puede encontrar aquí: "
"Tables","Tablas"
"  This is the Bootstrap Tables Component. It's not actively used out of the box on any theme pages and should only be enabled if you need to use Bootstrap Tables.
                     An example can be found here: ","Este es el componente de Tablas de Bootstrap. No se usa de forma predeterminada en ninguna página del tema y solo debe habilitarse si necesitas usar tablas Bootstrap. Un ejemplo se puede encontrar aquí: "
"Toggle, Accordion and Tabs","Toggle, Acordeón y Pestañas"
"This Design Element introduces the Toggles, Accordions, and Tabs component.
                         This is used on Product Page V2 and should not be disabled unless you don't plan on using this Product Page.","Este Elemento de Diseño introduce los componentes de Toggle, Acordeón y Pestañas. Se usa en la Página de Producto V2 y no debe desactivarse a menos que no planees usar esta página de producto."
"Pricing Boxes","Cajas de Precios"
"This Design Element is not used anywhere in the theme out of the box and should only be enabled if you need to implement Pricing Boxes.
                     An example can be found here:  ","Este Elemento de Diseño no se usa en ninguna parte del tema de forma predeterminada y solo debe habilitarse si necesitas implementar Cajas de Precios. Un ejemplo se puede encontrar aquí: "
"Headings And Blockquotes","Encabezados y Citas"
"This Design Element is not used anywhere in the theme out of the box and should only be enabled if you need to display Headings and Blockquotes.
                      An example can be found here: ","Este Elemento de Diseño no se usa en ninguna parte del tema de forma predeterminada y solo debe habilitarse si necesitas mostrar Encabezados y Citas. Un ejemplo se puede encontrar aquí: "
"Dividers","Divisores"
" This Design Element is not used anywhere in the theme out of the box and should only be enabled if you need to use Dividers on your pages.
                      An example can be found here: ","Este Elemento de Diseño no se usa en ninguna parte del tema de forma predeterminada y solo debe habilitarse si necesitas usar Divisores en tus páginas. Un ejemplo se puede encontrar aquí: "
"Brand lists","Listas de Marcas"
"Brand Lists are not used anywhere out of the box, however, this Design Element is also tied to the Testimonials Design Element. It's important to keep it enabled if you're using Testimonials anywhere on the store. If you're not using Brand Lists or Testimonials, you can disable it.
                      An example can be found here:","Las Listas de Marcas no se usan en ninguna parte de forma predeterminada; sin embargo, este Elemento de Diseño también está vinculado al Elemento de Diseño de Testimonios. Es importante mantenerlo habilitado si estás usando Testimonios en alguna parte de la tienda. Si no estás usando Listas de Marcas o Testimonios, puedes desactivarlo. Un ejemplo se puede encontrar aquí:"
"Responsive And Helpers","Responsivo y Utilidades"
"This Design Element is used to implement various CSS classes that allow for responsive designs with the Pearl Theme. It's used on multiple pages and should not be disabled.","Este Elemento de Diseño se usa para implementar varias clases CSS que permiten diseños responsivos con el Tema Pearl. Se usa en múltiples páginas y no debe desactivarse."
"Smooth Scrolling","Desplazamiento Suave"
"This Design Element can be used to add Smooth Scrolling animations to anchor links. If you haven't implemented this manually on your website, it should be disabled.","Este Elemento de Diseño se puede usar para agregar animaciones de desplazamiento suave a enlaces ancla. Si no lo has implementado manualmente en tu sitio web, debe desactivarse."
"Core Icon boxes","Cajas de Íconos Principales"
"This Design Element is used on Home Page v12. You can safely disable it if you're not using this Home Page, or if you're not planning on using Icon/Feature Boxes anywhere on the store.","Este Elemento de Diseño se usa en la Página de Inicio v12. Puedes desactivarlo sin problema si no estás usando esta página de inicio o si no planeas usar Cajas de Íconos/Funciones en la tienda."
"Extended Icon boxes","Cajas de Íconos Extendidos"
"This Design Element is not used anywhere in the theme out of the box and should only be enabled if you need to display Icon Boxes on your pages.
                     An example can be found here: ","Este Elemento de Diseño no se usa en ninguna parte del tema de forma predeterminada y solo debe habilitarse si necesitas mostrar Cajas de Íconos en tus páginas. Un ejemplo se puede encontrar aquí: "
"Alert boxes","Cajas de Alerta"
"These are Bootstrap Alerts. They aren't used out of the box and should be disabled unless you plan on explicitly customizing something to use them.
                     An example can be found here: ","Estas son ""Alertas"" de Bootstrap. No se utilizan de forma predeterminada y deben desactivarse a menos que planees personalizar algo explícitamente para usarlas. Un ejemplo se puede encontrar aquí: "
"Testimonials","Testimonios"
" Testimonials are used on Home Page V10 and Home Page V11. If you're not using either of these and don't plan on displaying Testimonials on any other page, you can disable this Design Element.
                     Other examples can be found here: ","Los ""Testimonios"" se utilizan en la Página de Inicio V10 y V11. Si no estás usando ninguna de estas páginas y no planeas mostrar Testimonios en ninguna otra página, puedes desactivar este Elemento de Diseño. Otros ejemplos se pueden encontrar aquí: "
"Flex Slider","Slider Flex"
"The Flex Slider Design Element is used for the Testimonials Slider (presented on Pearl Theme Testimonials) so if you're using this, it should be kept enabled.
                         If you're not using the Testimonials Slider, you can disable this Design Element.","El Elemento de Diseño ""Slider Flex"" se utiliza para el Slider de Testimonios (presentado en los Testimonios del Tema Pearl), por lo que si lo estás usando, debe mantenerse habilitado. Si no estás usando el Slider de Testimonios, puedes desactivar este Elemento de Diseño."
"Buttons","Botones"
"This Design Element is not used anywhere in the theme out of the box and should only be enabled if you need to display Custom Buttons on your pages.
                      An example can be found here: ","Este Elemento de Diseño no se utiliza en ninguna parte del tema de forma predeterminada y solo debe habilitarse si necesitas mostrar Botones Personalizados en tus páginas. Un ejemplo se puede encontrar aquí: "
"Sections","Secciones"
"Enable/Disable the Sections component.","Habilitar/Deshabilitar el componente de ""Secciones""."
"Used on Home Page V2 (top Hero Banner) for the Parallax effect.
                         If you're not using this home page or have not manually introduced the Parallax effect via customizations anywhere else on the store, this Design Element should be disabled.","Se utiliza en la Página de Inicio V2 (Banner Hero en la parte superior) para el efecto Parallax. Si no estás usando esta página de inicio o no has introducido el efecto Parallax manualmente mediante personalizaciones en otra parte de la tienda, este Elemento de Diseño debe desactivarse."
"Core Animations","Animaciones Principales"
" This Design Element introduces core theme animations and should be kept enabled.Extended Animations - Animations that are not part of the core theme Animations.
                         They are not used out of the box and should be disabled unless they've been added manually via customizations.","Este Elemento de Diseño introduce animaciones principales del tema y debe mantenerse habilitado. Animaciones Extendidas - Animaciones que no forman parte de las animaciones principales del tema. No se usan de forma predeterminada y deben desactivarse a menos que se hayan agregado manualmente mediante personalizaciones."
"Extended Animations","Animaciones Extendidas"
"Enable/Disable the Animations component.","Habilitar/Deshabilitar el componente de ""Animaciones""."
"AOS Animation","Animación AOS"
"This Design Element uses an external animation library that is not used anywhere out of the box. If you haven't manually added them to your store, it should be disabled.
                     An example can be found here: ","Este Elemento de Diseño utiliza una biblioteca externa de animaciones que no se usa en ninguna parte de forma predeterminada. Si no las has agregado manualmente a tu tienda, debe desactivarse. Un ejemplo se puede encontrar aquí: "
"Activate Back To Top Button","Activar el Botón de ""Volver Arriba"""
"Enable Advanced Back To Top On Product Page - Only affects the Product Pages. Adds the Advanced Back to Top button.
                      An example can be seen here: ","Habilitar el Avanzado Botón de ""Volver Arriba"" en la Página de Producto - Solo afecta a las Páginas de Producto. Agrega el botón Avanzado de Volver Arriba. Un ejemplo se puede ver aquí: "
"Show button after "x" pixels of scroll down","Mostrar el botón después de ""x"" píxeles de desplazamiento"
" Set when the "Back To Top" button will appear: when the user scrolls down to the 300px mark. The default value: 300","Establecer cuándo aparecerá el botón de ""Volver Arriba"": cuando el usuario se desplace hacia abajo hasta la marca de 300px. El valor predeterminado: 300."
"Reduce the opacity of "Back To Top" button after "x" pixels of scroll down","Reducir la opacidad del botón de ""Volver Arriba"" después de ""x"" píxeles de desplazamiento"
"Set number pixels after which the "Back To Top" button opacity is reduced. The default value is 1200.","Establecer el número de píxeles después del cual se reducirá la opacidad del botón de ""Volver Arriba"". El valor predeterminado es 1200."
"Duration of the top scrolling animation","Duración de la animación de desplazamiento hacia arriba"
"Duration of the top scrolling animation in milliseconds. The default value is 700.","Duración de la animación de desplazamiento hacia arriba en milisegundos. El valor predeterminado es 700."
"Auto-jump to Top when click on Collapsible Widgets","Salto automático hacia arriba al hacer clic en Widgets ""Colapsables"""
"Magento calendar.css","calendar.css de Magento"
"Enable or Disable the loading of the Magento default calendar.css library.","Habilitar o Deshabilitar la carga de la biblioteca calendar.css predeterminada de Magento."
"Include custom css","Incluir CSS personalizado"
"Enable or Disable the loading of theme_custom.css file. This will be included as last file, and here you can add your custom css modifications","Habilitar o Deshabilitar la carga del archivo theme_custom.css. Este se incluirá como el último archivo y aquí puedes agregar tus modificaciones CSS personalizadas."
"Advanced Back To Top On Product Page","Avanzado Botón de ""Volver Arriba"" en la Página de Producto"
"Activate Back To Top Button option must be enabled.","La opción Activar Botón de ""Volver Arriba"" debe estar habilitada."
"Enable Advanced Back To Top On Product Page","Habilitar Avanzado Botón de ""Volver Arriba"" en la Página de Producto"
"Only affects the Product Pages. Adds the Advanced Back to Top button.
                     An example can be seen here:","Solo afecta a las Páginas de Producto. Agrega el Avanzado Botón de ""Volver Arriba"". Un ejemplo se puede ver aquí:"
"Custom  Header General Settings","Configuración General del ""Encabezado Personalizado"""
"Header Style","Estilo del Encabezado"
"Global Promo Message","Mensaje Promocional Global"
"Enable Global Promo Message","Habilitar Mensaje Promocional Global"
"The content of the [weltpixel_global_promo_message] static block is displayed.
                         You can edit the block in Content -> Blocks.","El contenido del bloque estático [weltpixel_global_promo_message] se muestra. Puedes editar el bloque en ""Contenido -> Bloques""."
"Top Header","Encabezado Superior"
"Set width of Top section of Header. Example: 1400px","Establecer el ancho de la sección superior del Encabezado. Ejemplo: 1400px"
"Set link color in Header Navigation, only applies for level 0 categories.Example: #000000","Establecer el color de los enlaces en la navegación del Encabezado, solo se aplica para categorías de nivel 0. Ejemplo: #000000"
"Hover Link Color","Color del Enlace al Pasar el Ratón"
"Set link color on hover, for Header Level 0 Navigation and all subcategories from dropdown menu . Example: #CCCCCC","Establecer el color de los enlaces al pasar el ratón, para la navegación de nivel 0 del Encabezado y todas las subcategorías del menú desplegable. Ejemplo: #CCCCCC"
"Active Link Color","Color del Enlace Activo"
"Set color for Active links on Top Header. Example: #F3F3F3","Establecer el color de los enlaces activos en el Encabezado Superior. Ejemplo: #F3F3F3"
"Submenu Link Color","Color del Enlace del Submenú"
"Set color for Submenu links from Top Header. Example: #212121","Establecer el color de los enlaces del Submenú en el Encabezado Superior. Ejemplo: #212121"
"Submenu Hover Link Color","Color del Enlace del Submenú al Pasar el Ratón"
